ID,criterion_ID,sourceType,sourceRef,unit,transform
00000000-0000-4000-9300-000000000001,00000000-0000-4000-9200-000000000001,Manual,dimSafety,level,
00000000-0000-4000-9300-000000000002,00000000-0000-4000-9200-000000000002,Manual,dimNetwork,level,
00000000-0000-4000-9300-000000000003,00000000-0000-4000-9200-000000000003,Manual,dimFinancial,level,
00000000-0000-4000-9300-000000000004,00000000-0000-4000-9200-000000000004,Manual,dimEnvironmental,level,
00000000-0000-4000-9300-000000000005,00000000-0000-4000-9200-000000000005,Manual,dimReputational,level,
00000000-0000-4000-9300-000000000006,00000000-0000-4000-9200-000000000006,Manual,likelihood,level,
00000000-0000-4000-9300-000000000007,00000000-0000-4000-9200-000000000006,Derived,deriveLikelihood,level,default
00000000-0000-4000-9310-000000000101,00000000-0000-4000-9210-000000000001,BridgeField,conditionRating,,
00000000-0000-4000-9310-000000000201,00000000-0000-4000-9210-000000000002,Element,conditionRating,,min(conditionRating)
00000000-0000-4000-9310-000000000202,00000000-0000-4000-9210-000000000002,BridgeField,worstElementCondition,,
00000000-0000-4000-9310-000000000301,00000000-0000-4000-9210-000000000003,Derived,conditionTrend,,
00000000-0000-4000-9310-000000000401,00000000-0000-4000-9210-000000000004,BridgeField,estimatedRulYears,,
00000000-0000-4000-9310-000000000501,00000000-0000-4000-9210-000000000005,Defect,severity,,
00000000-0000-4000-9310-000000000601,00000000-0000-4000-9210-000000000006,Capacity,ratingFactor,,
00000000-0000-4000-9310-000000000602,00000000-0000-4000-9210-000000000006,BridgeField,loadRating,,
00000000-0000-4000-9310-000000000701,00000000-0000-4000-9210-000000000007,Derived,activeRestrictionCount,,
00000000-0000-4000-9310-000000000801,00000000-0000-4000-9210-000000000008,BridgeField,material,,
00000000-0000-4000-9310-000000000901,00000000-0000-4000-9210-000000000009,Attribute,FATIGUE_REMAINING_LIFE,,
00000000-0000-4000-9310-000000001001,00000000-0000-4000-9210-000000000010,Attribute,FRACTURE_CRITICAL,,
00000000-0000-4000-9310-000000001101,00000000-0000-4000-9210-000000000011,Attribute,SCOUR_RATING,,
00000000-0000-4000-9310-000000001201,00000000-0000-4000-9210-000000000012,Attribute,SEISMIC_VULNERABILITY,,
00000000-0000-4000-9310-000000001301,00000000-0000-4000-9210-000000000013,Attribute,EXPOSURE_CLASS,,
00000000-0000-4000-9310-000000001401,00000000-0000-4000-9210-000000000014,BridgeField,numberOfLanes,,
00000000-0000-4000-9310-000000001501,00000000-0000-4000-9210-000000000015,Attribute,LIFELINE_ROUTE,,
00000000-0000-4000-9310-000000001502,00000000-0000-4000-9210-000000000015,BridgeField,freightRoute,,
00000000-0000-4000-9310-000000001601,00000000-0000-4000-9210-000000000016,BridgeField,averageDailyTraffic,,
00000000-0000-4000-9310-000000001701,00000000-0000-4000-9210-000000000017,BridgeField,heavyVehiclePercent,,
00000000-0000-4000-9310-000000001801,00000000-0000-4000-9210-000000000018,Attribute,DETOUR_LENGTH_KM,,
00000000-0000-4000-9310-000000001901,00000000-0000-4000-9210-000000000019,Attribute,STRUCTURAL_REDUNDANCY,,
00000000-0000-4000-9310-000000002001,00000000-0000-4000-9210-000000000020,Attribute,PT_SERVICES_COUNT,,
00000000-0000-4000-9310-000000002101,00000000-0000-4000-9210-000000000021,Attribute,ACTIVE_TRANSPORT_EXPOSURE,,
00000000-0000-4000-9310-000000002201,00000000-0000-4000-9210-000000000022,Attribute,FREIGHT_VALUE_CLASS,,
00000000-0000-4000-9310-000000002301,00000000-0000-4000-9210-000000000023,Attribute,ISOLATION_POPULATION,,
00000000-0000-4000-9310-000000002401,00000000-0000-4000-9210-000000000024,Attribute,CRITICAL_SERVICES_PROXIMITY,,
00000000-0000-4000-9310-000000002501,00000000-0000-4000-9210-000000000025,Attribute,UTILITIES_COUNT,,
00000000-0000-4000-9310-000000002601,00000000-0000-4000-9210-000000000026,BridgeField,secondaryModes,,
00000000-0000-4000-9310-000000002701,00000000-0000-4000-9210-000000000027,BridgeField,clearanceHeight,,
00000000-0000-4000-9310-000000002801,00000000-0000-4000-9210-000000000028,Attribute,HERITAGE_LISTING,,
00000000-0000-4000-9310-000000002901,00000000-0000-4000-9210-000000000029,Attribute,ENV_SENSITIVITY,,
00000000-0000-4000-9310-000000003001,00000000-0000-4000-9210-000000000030,Attribute,OVER_OCCUPIED_SPACE,,
00000000-0000-4000-9310-000000003002,00000000-0000-4000-9210-000000000030,BridgeField,importanceLevel,,
00000000-0000-4000-9310-000000003101,00000000-0000-4000-9210-000000000031,BridgeField,importanceLevel,,
00000000-0000-4000-9310-000000003201,00000000-0000-4000-9210-000000000032,BridgeField,likelyFailureCostAud,,
00000000-0000-4000-9310-000000003301,00000000-0000-4000-9210-000000000033,BridgeField,mitigationCostAud,,
00000000-0000-4000-9310-000000003401,00000000-0000-4000-9210-000000000034,BridgeField,benefitCostRatio,,
00000000-0000-4000-9310-000000003501,00000000-0000-4000-9210-000000000035,Attribute,CLIMATE_EXPOSURE_TREND,,
00000000-0000-4000-9310-000000003601,00000000-0000-4000-9210-000000000036,Attribute,INCIDENT_COUNT_5Y,,
00000000-0000-4000-9310-000000003701,00000000-0000-4000-9210-000000000037,Attribute,STATUTORY_OBLIGATION,,
00000000-0000-4000-9310-000000009101,00000000-0000-4000-9210-000000000038,Manual,dimSafety,level,
00000000-0000-4000-9310-000000009201,00000000-0000-4000-9210-000000000039,Manual,dimNetwork,level,
00000000-0000-4000-9310-000000009301,00000000-0000-4000-9210-000000000040,Manual,dimFinancial,level,
00000000-0000-4000-9310-000000009401,00000000-0000-4000-9210-000000000041,Manual,dimEnvironmental,level,
00000000-0000-4000-9310-000000009501,00000000-0000-4000-9210-000000000042,Manual,dimReputational,level,
00000000-0000-4000-9310-000000009601,00000000-0000-4000-9210-000000000043,Manual,likelihood,level,
00000000-0000-4000-9310-000000009602,00000000-0000-4000-9210-000000000043,Derived,deriveLikelihood,level,default
